Year 	Month	YearDecimal	IntegE1	IntegE2
1991	Nov	1991.83333333333	55.05 	37.80 
	Dec	1991.91666666667	14.40 	9.30 
1992	Jan	1992	20.70 	0.30 
	Feb	1992.08333333333	22.35 	41.10 
	Mar	1992.16666666667	38.70 	39.30 
	Apr	1992.25	13.65 	38.85 
	May	1992.33333333333	24.15 	4.65 
	Jun	1992.41666666667	6.15 	16.65 
	Jul	1992.5	14.70 	-5.70 
	Ago	1992.58333333333	18.15 	
	Sep	1992.66666666667		
	Oct	1992.75	17.40 	26.10 
	Nov	1992.83333333333		
	Dec	1992.91666666667	38.25 	70.20 
1993	Jan	1993	53.25 	16.65 
	Feb	1993.08333333333	54.45 	64.95 
	Mar	1993.16666666667		
	Apr	1993.25		
	May	1993.33333333333		
	Jun	1993.41666666667		
	Jul	1993.5		
	Ago	1993.58333333333		
	Sep	1993.66666666666	16.05 	14.10 
	Oct	1993.75	-8.10 	-4.05 
	Nov	1993.83333333333	14.10 	17.25 
	Dec	1993.91666666666	17.10 	20.85 
1994	Jan	1994		
	Feb	1994.08333333333		
	Mar	1994.16666666666		
	Apr	1994.25		
	May	1994.33333333333		
	Jun	1994.41666666666		
	Jul	1994.5		
	Ago	1994.58333333333		
	Sep	1994.66666666666		
	Oct	1994.75		
	Nov	1994.83333333333		
	Dec	1994.91666666666		
1995	Jan	1995		
	Feb	1995.08333333333		
	Mar	1995.16666666666		
	Apr	1995.25		
	May	1995.33333333333		
	Jun	1995.41666666666		
	Jul	1995.5		
	Ago	1995.58333333333		
	Sep	1995.66666666666		
	Oct	1995.75	-17.85 	
	Nov	1995.83333333333	-18.15 	
	Dec	1995.91666666666	1.95 	
1996	Jan	1996	15.30 	
	Feb	1996.08333333333	6.75 	
	Mar	1996.16666666666	8.25 	
	Apr	1996.25	-17.70 	
	May	1996.33333333333		
	Jun	1996.41666666666		
	Jul	1996.5	15.15 	
	Ago	1996.58333333333		
	Sep	1996.66666666666	-5.10 	
	Oct	1996.75	-2.70 	
	Nov	1996.83333333333	20.85 	
	Dec	1996.91666666666		
1997	Jan	1997	26.25 	22.20 
	Feb	1997.08333333333	16.05 	49.80 
	Mar	1997.16666666666	79.65 	90.15 
	Apr	1997.25	27.60 	52.20 
	May	1997.33333333333	-10.05 	2.25 
	Jun	1997.41666666666	-8.10 	12.30 
	Jul	1997.49999999999	-29.85 	
