Year	Month	YearDecimal	IntegE1	IntegE2
1991	Nov	1991.833333	55.05 	37.80 
	Dec	1991.916667	14.40 	9.30 
1992	Jan	1992	20.70 	0.30 
	Feb	1992.083333	22.35 	41.10 
	Mar	1992.166667	38.70 	39.30 
	Apr	1992.25	13.65 	38.85 
	May	1992.333333	24.15 	4.65 
	Jun	1992.416667	6.15 	16.65 
	Jul	1992.5	14.70 	-5.70 
	Ago	1992.583333	18.15 	
	Sep	1992.666667		
	Oct	1992.75	17.40 	26.10 
	Nov	1992.833333		
	Dec	1992.916667	38.25 	70.20 
1993	Jan	1993	53.25 	16.65 
	Feb	1993.083333	54.45 	64.95 
	Mar	1993.166667		
	Apr	1993.25		
	May	1993.333333		
	Jun	1993.416667		
	Jul	1993.5		
	Ago	1993.583333		
	Sep	1993.666667	16.05 	14.10 
	Oct	1993.75	-8.10 	-4.05 
	Nov	1993.833333	14.10 	17.25 
	Dec	1993.916667	17.10 	20.85 
1994	Jan	1994		
	Feb	1994.083333		
	Mar	1994.166667		
	Apr	1994.25		
	May	1994.333333		
	Jun	1994.416667		
	Jul	1994.5		
	Ago	1994.583333		
	Sep	1994.666667		
	Oct	1994.75		
	Nov	1994.833333		
	Dec	1994.916667		
1995	Jan	1995		
	Feb	1995.083333		
	Mar	1995.166667		
	Apr	1995.25		
	May	1995.333333		
	Jun	1995.416667		
	Jul	1995.5		
	Ago	1995.583333		
	Sep	1995.666667		
	Oct	1995.75	-17.85 	
	Nov	1995.833333	-18.15 	
	Dec	1995.916667	1.95 	
1996	Jan	1996	15.30 	
	Feb	1996.083333	6.75 	
	Mar	1996.166667	8.25 	
	Apr	1996.25	-17.70 	
	May	1996.333333		
	Jun	1996.416667		
	Jul	1996.5	15.15 	
	Ago	1996.583333		
	Sep	1996.666667	-5.10 	
	Oct	1996.75	-2.70 	
	Nov	1996.833333	20.85 	
	Dec	1996.916667		
1997	Jan	1997	26.25 	22.20 
	Feb	1997.083333	16.05 	49.80 
	Mar	1997.166667	79.65 	90.15 
	Apr	1997.25	27.60 	52.20 
	May	1997.333333	-10.05 	2.25 
	Jun	1997.416667	-8.10 	12.30 
	Jul	1997.5	-29.85 	
	Ago	1997.583333	0.90 	-26.40 
	Sep	1997.666667		
	Oct	1997.75		
	Nov	1997.833333	12.00 	7.50 
	Dec	1997.916667	24.30 	43.35 
1998	Jan	1998		
	Feb	1998.083333	38.40 	46.50 
	Mar	1998.166667	33.30 	88.95 
	Apr	1998.25	45.15 	
	May	1998.333333	6.60 	14.10 
	Jun	1998.416667	-10.95 	7.50 
	Jul	1998.5	-0.90 	27.75 
	Ago	1998.583333	16.95 	24.45 
	Sep	1998.666667	31.95 	
	Oct	1998.75	7.80 	15.90 
	Nov	1998.833333	26.40 	30.15 
	Dec	1998.916667	11.40 	19.65 
1999	Jan	1999	24.15 	44.40 
	Feb	1999.083333	30.90 	93.15 
	Mar	1999.166667	14.40 	
	Apr	1999.25		
	May	1999.333333		
	Jun	1999.416667		
	Jul	1999.5		
	Ago	1999.583333		
	Sep	1999.666667		
	Oct	1999.75	1.65 	
	Nov	1999.833333	8.55 	6.15 
	Dec	1999.916667	28.95 	28.05 
2000	Jan	2000	8.10 	-2.10 
	Feb	2000.083333	4.65 	34.80 
	Mar	2000.166667	31.20 	40.65 
	Apr	2000.25		
	May	2000.333333		
	Jun	2000.416667		
	Jul	2000.5		
